carrier,flightNumber,origin,destination,date,departure,arrival,price,currency
ACME Air,AC1001,SFO,JFK,2025-12-20,06:00,10:00,199.99,USD
SkyLine,SL1002,SFO,JFK,2025-12-20,09:00,13:00,209.99,USD
BlueJet,BJ1003,SFO,JFK,2025-12-20,12:00,16:00,229.99,USD
Nimbus,NB1004,SFO,JFK,2025-12-20,15:00,19:00,249.99,USD
GlobeAir,GA1005,SFO,JFK,2025-12-20,18:00,22:00,279.99,USD
ACME Air,AC1006,SFO,JFK,2025-12-21,06:00,10:00,204.99,USD
SkyLine,SL1007,SFO,JFK,2025-12-21,09:00,13:00,214.99,USD
BlueJet,BJ1008,SFO,JFK,2025-12-21,12:00,16:00,234.99,USD
Nimbus,NB1009,SFO,JFK,2025-12-21,15:00,19:00,254.99,USD
GlobeAir,GA1010,SFO,JFK,2025-12-21,18:00,22:00,284.99,USD
ACME Air,AC1011,SFO,JFK,2025-12-22,06:00,10:00,209.99,USD
SkyLine,SL1012,SFO,JFK,2025-12-22,09:00,13:00,219.99,USD
BlueJet,BJ1013,SFO,JFK,2025-12-22,12:00,16:00,239.99,USD
Nimbus,NB1014,SFO,JFK,2025-12-22,15:00,19:00,259.99,USD
GlobeAir,GA1015,SFO,JFK,2025-12-22,18:00,22:00,289.99,USD
ACME Air,AC1016,SFO,JFK,2025-12-23,06:00,10:00,214.99,USD
SkyLine,SL1017,SFO,JFK,2025-12-23,09:00,13:00,224.99,USD
BlueJet,BJ1018,SFO,JFK,2025-12-23,12:00,16:00,244.99,USD
Nimbus,NB1019,SFO,JFK,2025-12-23,15:00,19:00,264.99,USD
GlobeAir,GA1020,SFO,JFK,2025-12-23,18:00,22:00,294.99,USD
ACME Air,AC1021,SFO,JFK,2025-12-24,06:00,10:00,219.99,USD
SkyLine,SL1022,SFO,JFK,2025-12-24,09:00,13:00,229.99,USD
BlueJet,BJ1023,SFO,JFK,2025-12-24,12:00,16:00,249.99,USD
Nimbus,NB1024,SFO,JFK,2025-12-24,15:00,19:00,269.99,USD
GlobeAir,GA1025,SFO,JFK,2025-12-24,18:00,22:00,299.99,USD
ACME Air,AC1026,SFO,JFK,2025-12-25,06:00,10:00,224.99,USD
SkyLine,SL1027,SFO,JFK,2025-12-25,09:00,13:00,234.99,USD
BlueJet,BJ1028,SFO,JFK,2025-12-25,12:00,16:00,254.99,USD
Nimbus,NB1029,SFO,JFK,2025-12-25,15:00,19:00,274.99,USD
GlobeAir,GA1030,SFO,JFK,2025-12-25,18:00,22:00,304.99,USD
ACME Air,AC1031,SFO,JFK,2025-12-26,06:00,10:00,229.99,USD
SkyLine,SL1032,SFO,JFK,2025-12-26,09:00,13:00,239.99,USD
BlueJet,BJ1033,SFO,JFK,2025-12-26,12:00,16:00,259.99,USD
Nimbus,NB1034,SFO,JFK,2025-12-26,15:00,19:00,279.99,USD
GlobeAir,GA1035,SFO,JFK,2025-12-26,18:00,22:00,309.99,USD
ACME Air,AC1036,SFO,JFK,2025-12-27,06:00,10:00,234.99,USD
SkyLine,SL1037,SFO,JFK,2025-12-27,09:00,13:00,244.99,USD
BlueJet,BJ1038,SFO,JFK,2025-12-27,12:00,16:00,264.99,USD
Nimbus,NB1039,SFO,JFK,2025-12-27,15:00,19:00,284.99,USD
GlobeAir,GA1040,SFO,JFK,2025-12-27,18:00,22:00,314.99,USD
ACME Air,AC1041,SFO,JFK,2025-12-28,06:00,10:00,239.99,USD
SkyLine,SL1042,SFO,JFK,2025-12-28,09:00,13:00,249.99,USD
BlueJet,BJ1043,SFO,JFK,2025-12-28,12:00,16:00,269.99,USD
Nimbus,NB1044,SFO,JFK,2025-12-28,15:00,19:00,289.99,USD
GlobeAir,GA1045,SFO,JFK,2025-12-28,18:00,22:00,319.99,USD
ACME Air,AC1046,SFO,JFK,2025-12-29,06:00,10:00,244.99,USD
SkyLine,SL1047,SFO,JFK,2025-12-29,09:00,13:00,254.99,USD
BlueJet,BJ1048,SFO,JFK,2025-12-29,12:00,16:00,274.99,USD
Nimbus,NB1049,SFO,JFK,2025-12-29,15:00,19:00,294.99,USD
GlobeAir,GA1050,SFO,JFK,2025-12-29,18:00,22:00,324.99,USD
ACME Air,AC2001,JFK,SFO,2025-12-20,06:00,10:00,189.99,USD
SkyLine,SL2002,JFK,SFO,2025-12-20,09:00,13:00,199.99,USD
BlueJet,BJ2003,JFK,SFO,2025-12-20,12:00,16:00,219.99,USD
Nimbus,NB2004,JFK,SFO,2025-12-20,15:00,19:00,239.99,USD
GlobeAir,GA2005,JFK,SFO,2025-12-20,18:00,22:00,269.99,USD
ACME Air,AC2006,JFK,SFO,2025-12-21,06:00,10:00,194.99,USD
SkyLine,SL2007,JFK,SFO,2025-12-21,09:00,13:00,204.99,USD
BlueJet,BJ2008,JFK,SFO,2025-12-21,12:00,16:00,224.99,USD
Nimbus,NB2009,JFK,SFO,2025-12-21,15:00,19:00,244.99,USD
GlobeAir,GA2010,JFK,SFO,2025-12-21,18:00,22:00,274.99,USD
ACME Air,AC2011,JFK,SFO,2025-12-22,06:00,10:00,199.99,USD
SkyLine,SL2012,JFK,SFO,2025-12-22,09:00,13:00,209.99,USD
BlueJet,BJ2013,JFK,SFO,2025-12-22,12:00,16:00,229.99,USD
Nimbus,NB2014,JFK,SFO,2025-12-22,15:00,19:00,249.99,USD
